#{"t_start": 1765854108.7637842, "env_id": "None"}
r,l,t
224.478864,1,68.561121
-167.224899,400,69.30034
87.587171,400,71.269141
-102.414244,300,73.02309
68.119183,341,73.810603
-22.021682,341,75.598622
-1.912196,33,75.696331
-79.731336,300,77.519656
-32.691455,341,78.253122
228.670511,1,78.291705
-80.745765,400,80.171654
-24.046727,341,81.992935
6.891993,341,82.70227
227.942741,1,82.740551
-49.081015,400,84.654813
-70.885811,400,86.532831
86.779994,341,88.272146
499.888066,400,89.18485
559.47904,300,90.991365
16.893664,42,91.14475
4.948315,400,93.066429
422.215824,341,94.899905
-56.913674,400,95.639526
-45.563193,341,97.374181
233.298523,1,97.412087
-35.005732,341,99.18333
-48.519229,341,99.858327
594.298309,400,101.731375
334.566164,261,103.365986
-31.348476,341,104.028154
122.385134,341,105.797064
-9.087105,300,107.401998
128.854132,341,108.261035
-20.846724,400,110.271952
-52.378246,341,112.075649
-70.90935,294,112.651715
-65.977165,341,114.307055
-23.542559,12,114.436335
-3.319158,300,115.135922
57.864122,341,117.075525
-15.364272,300,118.742872
839.698712,400,120.675145
-14.191257,300,121.25818
360.93645,222,122.825747
414.984887,262,123.444723
-3.544069,300,125.178805
-45.707743,341,125.806033
577.339608,341,127.621363
-23.077978,341,129.355755
-47.04544,341,130.056241
-14.926215,300,131.718824
-80.386801,176,132.121511
-5.588651,300,133.8079
945.126617,300,134.466359
-58.441046,341,136.205703
-10.386074,300,137.877273
351.916157,207,138.297867
-53.789804,106,138.564363
-53.159889,243,140.106592
-34.726902,341,140.87844
-23.670544,341,142.719886
233.207351,1,142.759837
-44.144949,341,144.518461
-33.28434,341,145.20985
-17.230664,300,146.909989
-43.028039,341,148.677723
-94.527102,273,149.236052
410.493848,231,150.78151
0.06245,300,151.460307
380.421119,224,152.979416
-34.892837,341,153.608355
397.424658,242,155.195546
233.298523,1,155.233672
868.205346,400,157.167172
102.090381,400,158.133656
-54.005435,234,159.742685
-19.993552,341,160.406187
720.394346,400,162.22605
232.871054,1,162.264339
232.757865,1,162.301414
-10.313552,341,164.067584
44.330734,341,165.863286
11.071684,341,166.535642
233.298523,1,166.573879
-84.402624,254,168.207179
233.298523,1,168.24527
349.723821,191,168.562232
-126.837621,341,170.407405
361.157892,201,170.870697
-45.266582,213,172.372466
-24.362128,400,173.261234
-13.251058,300,174.94689
379.939417,212,175.442663
32.287761,300,177.160488
-91.904053,269,178.787119
160.387971,400,179.588429
888.547191,400,181.445052
-12.191245,300,183.257532
-5.297197,400,184.125342
241.777897,1,184.164157
233.298523,1,184.200957
387.494617,216,185.746551
32.133953,300,186.389447
-9.047223,400,188.215156
-8.482036,300,189.963651
-38.539548,300,190.599216
-9.191287,341,192.33401
-32.082124,341,194.189737
233.298523,1,194.227597
49.759397,300,194.888274
431.006918,217,196.391102
233.298523,1,196.429423
486.507536,231,196.941595
-34.777315,341,198.74933
13.020799,400,200.633222
68.890307,341,201.432057
233.298523,1,201.469893
495.9973,236,203.042518
694.581787,400,205.030747
-31.399153,300,205.619433
-88.204275,263,207.289847
-51.411906,341,208.062267
800.668963,300,209.780907
-49.482675,234,210.28532
50.899386,300,211.998841
706.62482,363,213.903897
-20.556817,400,214.725762
943.770662,300,216.357864
-11.912101,4,216.400181
-44.081682,341,218.207923
6.674521,400,219.128909
493.575028,249,220.699789
1035.273703,300,222.443727
233.298523,1,222.482625
-21.096668,300,223.111169
-11.4155,341,224.919008
-14.530723,341,225.560781
-13.80081,400,227.425432
535.778851,341,229.231136
391.114423,218,229.704855
706.699607,341,231.56914
-123.754614,341,233.426414
1052.182946,300,234.066984
35.037344,300,235.784474
0.493507,400,237.702896
-9.683763,341,238.455072
335.725914,194,239.990117
39.538414,29,240.070527
-51.00717,104,240.296505
6.420712,400,242.295463
228.224523,1,242.335403
-14.989507,400,244.284933
-110.280315,341,244.939958
-129.179433,341,246.711571
-130.194333,296,247.362412
938.673661,300,249.179304
75.053548,341,251.000746
220.764472,400,251.827177
-20.081551,341,253.719121
-32.256149,341,255.541199
443.417341,231,256.037514
29.504428,341,257.836138
149.868349,341,259.634277
-188.171825,341,260.406213
452.269796,341,262.227698
448.70123,251,262.829582
-43.015022,341,264.644376
403.059785,220,265.181877
-143.317913,341,266.976052
1055.36401,300,268.713768
451.981479,251,269.336214
411.214149,269,271.034307
2.060245,11,271.122186
98.102753,300,271.814419
233.298523,1,271.852702
561.024456,341,273.683681
178.153748,300,275.513752
26.072188,341,276.205938
220.718617,1,276.244633
-25.077008,27,276.319878
-38.236837,341,278.071864
-159.405472,341,279.836128
-26.071734,25,279.947033
233.298523,1,279.984838
162.894433,300,280.641896
208.150443,113,282.053155
-29.736819,341,282.667159
233.298523,1,282.705534
703.141295,400,284.780499
-28.243823,400,287.083715
-19.648278,300,287.784003
-30.361972,300,289.788937
122.118464,341,291.972862
233.298523,1,292.010992
229.081411,1,292.047777
-24.429039,18,292.146389
233.298523,1,292.184187
75.983563,247,292.756591
-28.050901,400,295.026397
72.207819,341,297.141636
1061.399226,300,297.769002
247.593376,400,299.97179
1063.878308,300,301.922526
431.109912,234,302.416419
0.827147,400,304.517114
83.003219,300,305.120202
-12.099467,400,307.322132
-19.859498,300,309.302632
-5.81837,306,309.941234
-60.485588,206,311.902899
211.56684,300,312.540058
233.298523,1,312.579396
233.298523,1,312.616996
0.113254,291,314.413735
231.945515,1,314.454511
1059.467954,300,315.258767
575.571109,341,317.448075
-12.37124,400,319.354366
-112.695789,251,319.916573
-9.562032,400,322.053535
-19.264171,400,324.552003
62.961387,341,326.860786
644.39017,334,327.536784
51.182024,341,329.768255
1015.994864,300,331.503896
656.589035,341,332.157479
233.014555,1,332.195861
88.559876,195,333.639326
-44.909264,300,334.234876
233.298523,1,334.273215
-44.618512,400,336.155813
-38.556319,300,337.870761
233.298523,1,337.908736
547.471489,341,338.588435
363.045054,341,340.345594
-47.532095,400,342.343891
888.785987,400,343.197896
-47.94598,300,344.862203
452.772933,341,346.637709
13.96281,295,347.319873
17.179141,337,349.084597
441.759603,300,350.723121
-122.770914,270,351.429823
233.298523,1,351.467662
600.267805,341,353.307731
554.967482,253,353.837446
381.157176,300,355.555418
75.964314,341,356.264451
-67.127004,300,357.978221
-110.647026,271,359.69142
-115.407298,249,360.20597
-99.553199,261,361.84253
115.956148,341,362.54677
509.665117,341,364.305045
87.393726,341,366.079757
-107.345131,270,366.620558
718.993541,364,368.424017
27.891256,341,369.176713
27.958143,302,370.840509
415.568077,235,372.534986
164.251445,336,373.316532
881.834955,400,375.444178
42.923367,341,377.272653
-29.916072,300,377.88467
233.298523,1,377.922717
113.344707,341,379.70437
70.519857,341,381.471639
-35.867747,300,382.097118
722.999564,341,383.841072
89.109918,341,384.640096
367.998134,341,386.496049
22.329444,252,388.149492
415.2883,300,388.849818
233.298523,1,388.887893
-40.267553,341,390.665101
32.790182,310,391.279976
236.447419,1,391.318336
-15.986297,16,392.449116
-55.408494,400,393.375126
342.582574,195,394.902428
232.920232,1,394.940176
80.47814,341,395.709112
-46.489036,400,397.633923
-45.406925,400,399.578801
903.565607,400,401.535925
-57.694815,300,402.167125
620.326831,341,403.977127
-47.902948,400,405.947411
51.516578,236,406.480312
616.116802,341,408.26518
-38.795559,300,408.936464
-20.477966,2,408.97651
-48.491415,300,410.659629
-56.621539,400,412.552397
210.629727,1,412.590642
-39.747539,400,414.517347
-92.676349,230,415.003387
625.211341,341,416.84285
-15.671301,7,416.888832
521.255099,341,417.571207
233.23068,1,417.611214
7.684484,341,419.40365
-129.882963,332,421.152437
117.43194,341,421.84264
123.809118,341,423.653221
-13.998127,3,423.693709
996.742789,300,425.405803
433.984152,300,426.150396
59.632783,341,427.943279
689.290887,351,429.780907
-127.286316,334,430.419531
-56.490695,300,432.103458
233.298523,1,432.142257
129.82684,283,432.781985
421.986748,227,434.274175
-72.351484,400,436.236506
228.332551,1,436.274793
-2.58284,32,436.397671
233.006688,1,436.435556
72.734612,341,437.117168
233.298523,1,437.155234
171.931354,341,438.955464
898.343393,400,440.887201
233.298523,1,440.925206
