#{"t_start": 1765854108.7559495, "env_id": "None"}
r,l,t
-67.989453,341,68.946514
-96.31017,341,69.470242
16.738242,400,70.125637
-71.291816,400,74.813999
-52.230444,400,80.652593
-67.553601,341,86.034715
-43.472505,88,87.478597
232.980915,1,87.528306
765.2633,300,92.091272
27.237847,341,97.454182
28.924463,300,102.307489
86.48208,300,106.843597
-19.00223,400,113.076853
229.061602,1,113.126541
-10.992074,300,117.620078
-15.374725,8,117.780414
-33.060763,400,123.982394
820.569485,400,130.34795
28.729069,341,135.242145
-36.591762,341,140.613983
-38.439725,341,145.966207
900.777533,400,152.147051
117.61317,271,156.565211
126.629638,277,160.958714
251.218971,153,163.449568
18.962658,400,169.858475
-13.4173,400,176.297092
-15.881243,6,176.424729
-47.36062,341,181.847219
357.782491,300,186.789169
-8.476968,300,191.540447
-30.953141,341,196.499563
-10.874086,300,201.268171
253.168035,139,203.556836
335.944073,400,209.976328
-80.027604,256,213.942814
222.785811,1,213.992581
-39.77699,341,219.451028
-52.709467,325,224.756179
357.77951,400,231.167927
232.967169,1,231.218403
-39.477063,341,236.706657
343.851961,400,242.951699
-17.88648,300,247.779293
-28.256694,341,253.003442
207.335801,1,253.051479
254.773218,145,255.140101
15.502219,400,261.54798
-84.989332,228,265.208015
-47.032066,251,269.287194
895.755478,400,275.779629
-32.794906,341,281.292447
-76.795872,237,285.102023
446.808412,213,288.613928
260.847504,138,290.840423
349.441472,400,297.28272
-31.355876,341,302.407794
-56.469175,286,306.922307
-11.05657,300,311.736365
-27.051221,341,316.535079
-21.1837,5,316.648801
-69.279786,227,320.403348
246.028856,145,322.747658
-36.345102,341,328.464247
7.128953,400,335.016543
41.445393,341,340.507733
-20.339276,2,340.573402
-41.127934,341,345.936873
109.652218,341,351.406322
-32.874392,341,356.900119
-103.031028,341,362.531894
258.626139,146,364.880848
229.390945,1,364.930453
-42.182782,400,371.453493
229.430794,1,371.500993
247.360778,140,373.46199
6.444192,300,377.928514
246.637253,144,380.264311
-23.353872,15,380.533987
-31.160313,400,387.050853
249.158248,136,389.26809
503.012056,232,392.991336
815.745584,300,397.731205
38.575419,155,400.300423
232.48153,1,400.350502
258.987366,143,402.670895
293.3859,341,408.174888
-43.589155,341,413.656237
-43.539056,341,419.206866
45.306952,157,421.74677
307.246827,400,428.237617
242.906288,210,431.682181
-4.752663,300,436.598042
903.150604,400,443.097306
9.47553,400,449.55892
11.311139,300,454.469273
47.137411,158,457.154532
8.962911,300,461.991856
-38.766456,341,467.598778
229.985051,1,467.64947
-34.50397,341,473.209786
14.198124,300,478.082702
229.413843,1,478.133074
-64.572735,341,483.811324
345.612311,400,490.333051
275.659844,165,493.007522
-43.041043,341,498.169087
-44.959292,341,503.735331
0.880683,300,508.640666
258.944714,145,511.026588
27.474583,47,511.847232
-32.390491,400,518.368657
232.662938,1,518.419147
677.889424,342,524.047865
-11.291292,300,528.943296
515.214063,239,532.887908
357.644264,400,539.56747
260.062182,341,545.147208
171.326938,202,548.46433
684.074215,342,553.930256
-26.300801,300,558.870313
258.99929,144,561.263876
2.223023,400,567.82119
258.829589,145,570.158472
-35.54793,341,575.762862
232.587433,1,575.813071
232.765649,1,575.862558
-53.388753,291,581.071683
600.033036,300,586.334197
-1.561334,400,593.326406
-48.670064,245,597.628126
-29.595477,341,603.589939
-25.505793,12,603.826217
256.756483,146,606.246707
244.553544,146,608.680014
232.473114,1,608.732731
-34.413449,341,614.649702
8.678128,341,620.663357
44.036812,152,623.309303
-58.259664,282,628.319073
239.394765,146,630.780748
-1.995925,400,637.824048
9.056251,341,643.713232
-7.024886,300,649.210172
253.685415,144,651.742848
-18.218506,2,651.809276
902.120205,400,658.323236
224.65067,148,661.085529
69.202261,341,667.485741
-122.741163,307,673.138577
-43.570047,341,679.520815
240.947078,149,682.037043
232.658222,1,682.087271
245.658665,145,684.424289
-6.070007,300,689.429077
39.013457,145,691.751065
-4.029088,400,698.320565
-10.08534,400,704.709364
378.306585,300,709.588824
-106.478827,254,713.744155
41.696031,148,716.169495
-52.275751,300,721.079861
262.841005,147,723.527877
307.796597,300,728.433066
917.499454,400,734.926628
-4.719985,341,740.586842
599.90608,301,745.527351
404.946062,300,750.422151
-120.600438,273,754.938802
400.108086,300,759.850832
904.417622,400,766.441299
-37.027428,341,772.017453
179.230329,400,778.523862
754.866977,386,784.891154
221.781153,1,784.941618
-0.688605,300,789.815037
228.63426,1,789.864982
347.615325,400,795.859516
232.836178,1,795.907107
25.772775,151,798.208189
779.016656,272,802.603655
205.501886,400,808.428678
-24.164192,19,808.765237
289.729521,400,815.399263
399.364399,300,820.400556
365.802718,300,825.22856
889.04075,400,831.773217
253.432,136,834.000884
39.385265,191,837.118627
257.47748,136,839.357643
-20.252222,1,839.408119
-21.180321,300,844.065523
382.327154,300,848.999716
251.408555,136,851.3139
-4.006342,400,857.850951
-65.64958,341,863.24959
-17.210232,300,868.055279
251.225306,137,870.191759
255.478352,136,872.165017
1078.665605,300,877.041049
55.142055,197,880.246553
-80.259819,341,885.64862
288.691999,162,888.135926
221.297939,1,888.186338
256.685337,144,890.47946
219.416298,116,892.413719
232.735944,1,892.46166
-1.431394,400,898.571735
232.889049,1,898.623106
232.925075,1,898.672595
205.954588,247,902.454833
258.71291,146,904.886871
258.79784,145,907.297108
264.689745,149,909.463371
229.914195,1,909.511247
251.156024,137,911.482862
69.758841,178,914.530514
242.012001,129,916.635586
232.605266,1,916.686872
-16.073148,300,921.534123
-11.940918,400,927.976268
-20.274949,300,933.001939
306.662437,400,939.538165
61.535926,168,942.278987
-39.391196,341,947.817956
258.843722,145,950.153974
-34.770407,341,955.829757
233.134551,1,955.880334
226.500578,139,958.087429
1030.402118,300,962.244889
232.69335,138,964.549047
-62.739741,132,966.744876
-77.780961,341,972.253428
55.857553,165,974.710617
260.616385,146,976.804588
243.632001,150,979.08406
229.793062,1,979.135113
1054.729656,300,983.924673
-22.492687,341,989.535021
-76.526106,256,993.77158
21.425753,150,996.264311
-32.934476,64,997.367385
-35.569837,341,1002.685507
417.850977,300,1007.558351
739.846811,378,1013.588832
-30.324858,300,1018.148036
254.737467,145,1020.511862
268.934063,150,1022.985742
376.752367,300,1027.89172
30.332686,25,1028.354245
-77.251267,341,1033.729417
253.086812,142,1036.051103
22.530249,151,1038.505029
335.033291,400,1044.985872
265.473176,157,1047.545818
-11.061941,400,1054.09058
-19.332031,400,1060.561028
260.648418,146,1062.785898
-26.551312,300,1067.604692
1047.870744,300,1072.456573
258.764159,146,1074.86476
-20.23704,1,1074.915386
888.932857,400,1081.351979
232.647971,1,1081.401649
-45.062325,341,1086.962017
246.483615,148,1089.393801
232.394589,1,1089.443948
-43.225546,341,1094.429444
232.560814,1,1094.477419
71.34952,150,1096.604295
-9.477914,400,1102.205805
1065.443728,300,1106.628191
-21.360459,4,1106.78125
17.750556,341,1111.76737
-51.00222,341,1116.784686
232.699824,138,1118.845239
248.480052,147,1121.105419
229.45359,1,1121.153428
322.616864,212,1124.249393
232.698152,1,1124.29803
900.573104,400,1130.139241
256.676951,146,1132.143056
504.628842,264,1135.988976
348.744493,221,1139.239611
-23.195511,300,1143.558889
226.144952,138,1145.700884
453.042383,300,1150.105652
303.032238,400,1156.08877
295.669189,185,1158.765109
25.042838,341,1163.915072
48.510986,146,1166.001096
316.267912,179,1168.470052
243.817184,150,1170.670974
419.360865,300,1174.954188
-26.664289,300,1179.355409
605.372291,400,1185.406478
445.418408,300,1189.967248
250.342002,146,1192.047922
-31.505403,341,1197.136115
229.011897,1,1197.196037
-10.790373,52,1197.943561
439.071467,300,1202.167184
438.790874,300,1206.786879
-0.644819,400,1212.683917
294.161329,182,1215.517457
-140.194497,226,1218.83091
-35.150449,341,1223.89953
228.65871,1,1223.950261
-0.332037,81,1225.176842
-35.069237,341,1230.248798
651.663795,400,1236.11264
-30.809719,341,1241.500976
229.781842,1,1241.549755
-60.782974,300,1246.017915
242.89255,166,1248.470374
-37.911466,341,1253.531631
381.322538,295,1257.958747
-61.094405,300,1262.629857
292.206944,165,1265.124303
664.627623,400,1271.046906
1050.669866,300,1275.425581
-45.760731,300,1279.911995
310.568573,400,1285.87783
384.301103,300,1290.818083
228.425754,1,1290.868315
282.805027,160,1293.557943
