#{"t_start": 1765854108.765417, "env_id": "None"}
r,l,t
-91.930486,341,69.146281
-81.293033,300,69.774909
-94.568617,341,70.522117
42.562452,300,71.69328
-96.842418,203,74.147589
233.298309,1,74.190837
-44.003197,133,75.449588
154.632628,143,76.813074
255.231759,143,78.180923
-55.151095,133,79.464092
233.298523,1,79.512167
-81.0697,133,80.744877
-43.884799,143,82.213883
-30.481311,20,82.422136
-91.874563,317,85.304753
-54.480109,341,88.651191
73.655495,133,89.880214
156.647922,143,91.262869
-43.850416,143,92.679146
114.771924,133,93.947294
255.397597,341,97.305589
-64.421458,96,98.205016
254.268806,134,99.468983
255.232827,143,100.820797
-2.398489,300,103.607083
255.232756,143,104.955267
6.131474,341,108.222614
254.122743,133,109.531695
-76.982347,133,110.808362
-32.923916,341,114.008488
156.644501,143,115.394936
-76.981412,133,116.665362
255.356128,142,118.022316
13.432281,341,121.220874
211.484865,1,121.26332
-115.339578,360,124.569199
-82.66033,133,125.870187
-27.004731,284,128.502375
-18.581211,400,132.353815
-82.594182,133,133.634012
224.267784,1,133.682544
-37.036993,53,134.176381
255.231762,143,135.557494
114.765998,133,136.836736
246.412194,129,138.086888
233.298506,1,138.130183
154.635316,143,139.495628
-27.746589,284,142.081133
-30.411023,158,143.643805
233.298517,1,143.685926
179.733297,400,147.54336
-33.729363,341,150.817215
255.231763,143,152.177343
233.298517,1,152.224942
-82.630338,133,153.56947
1.056907,341,156.779505
233.298505,1,156.821493
903.204091,300,159.70389
-28.970563,150,161.1611
43.979721,300,163.961616
378.80206,400,167.664171
-51.297405,84,168.545559
-18.002883,1,168.592319
-82.644172,133,169.822469
238.104945,125,171.130583
255.231784,143,172.445023
186.343778,400,176.224391
-9.713002,341,179.514701
70.766667,205,181.452151
74.730721,141,182.798803
98.510327,58,183.412943
73.035521,171,185.022372
286.662727,300,187.92912
28.477659,24,188.245743
-16.000415,2,188.301962
-15.970468,300,191.050077
4.115416,12,191.265165
254.123345,133,192.519495
57.429361,210,194.519532
-41.497746,69,195.164881
255.231694,143,196.493523
-137.248289,238,198.800191
-23.750899,17,198.982786
-20.010144,1,199.028746
158.600267,142,200.367194
254.114639,133,201.599351
154.666213,324,204.603195
-20.666288,15,204.772388
157.79748,139,206.059238
-133.024655,250,208.405494
75.554508,134,209.647572
71.597682,134,210.929185
-72.104151,300,213.843808
-16.924441,300,216.683116
255.231752,143,218.006866
281.58384,400,221.701099
187.558997,188,223.514381
-227.351442,175,225.151938
254.11426,133,226.40332
-133.537222,300,229.213826
258.778478,145,230.668989
16.213142,341,233.875301
-82.493903,133,235.250928
-68.974729,85,236.039176
-82.504789,133,237.273793
-26.617581,25,237.566943
233.251645,1,237.609009
161.604198,147,239.002225
898.35761,300,241.774678
-26.24987,341,245.00357
-25.6974,58,245.62029
-44.535357,300,248.535317
-35.721895,300,251.314126
148.145277,157,252.839888
73.667043,133,254.145639
158.511241,142,255.481741
254.12334,133,256.684861
26.079645,341,259.954858
-83.082733,133,261.264698
-18.840272,300,264.143304
233.254823,1,264.18636
-15.08931,151,265.591193
-85.069971,138,266.967398
207.468833,400,270.81633
255.292814,142,272.123115
233.28622,1,272.165009
-22.27207,300,274.877677
259.317844,155,276.361161
-55.949352,300,279.170768
-83.305035,135,280.492567
53.785838,134,281.744497
-14.585561,300,284.577862
248.483005,130,285.786056
-25.090894,300,288.561475
-15.905629,341,291.753778
252.499306,132,293.011669
-39.400306,300,296.001551
152.268935,148,297.414674
176.736044,155,298.95912
162.470829,150,300.427304
-82.611262,133,301.709063
158.06798,111,302.751419
73.645267,133,303.997884
45.008611,134,305.284375
255.231762,143,306.718537
233.298512,1,306.763839
100.008286,341,310.029659
137.477113,137,311.315044
-41.622315,300,314.211991
-23.910808,300,317.046272
254.292836,133,318.456778
164.294595,145,319.885196
-25.277092,300,322.700318
-82.581502,133,323.941301
233.298523,1,323.987966
255.301068,142,325.389371
255.32855,142,326.782534
255.331167,142,328.142548
73.582509,133,329.385774
-20.409003,1,329.431193
328.745725,177,331.170452
-62.087878,198,333.0218
-82.632482,133,334.297435
42.878219,135,335.627671
86.83267,341,338.883699
255.231758,143,340.240352
155.11807,141,341.58628
233.298523,1,341.629631
254.116239,133,342.915654
254.116137,133,344.193303
-18.949756,211,346.158634
49.3213,133,347.471508
233.546452,162,348.933251
-26.734419,300,351.723042
210.896276,1,351.769696
254.123346,133,353.047261
45.63964,133,354.366231
-60.012949,142,355.728463
-28.53133,300,358.631878
-21.583271,300,361.407606
-27.638623,300,364.182989
-23.23406,8,364.323076
-13.553717,300,367.188497
233.29795,1,367.231131
-5.556469,300,370.009303
255.349359,142,371.325501
-62.807724,300,374.223086
-101.944144,149,375.708239
254.124756,133,377.085984
26.541735,341,380.54575
276.837164,153,382.207932
254.115654,133,383.508129
211.983555,148,384.980788
251.193869,141,386.463958
29.526006,341,389.976551
-47.696961,400,394.073851
50.261086,134,395.644118
-2.732954,300,398.735168
-42.738463,208,400.9052
-93.725637,257,403.411809
-20.744605,300,406.446427
34.48871,341,409.904422
-3.031731,300,412.839619
-9.968761,300,415.995331
-87.273534,232,418.295871
48.366348,341,421.441896
56.157895,134,422.892264
-24.355504,17,423.101864
-74.915382,139,424.550506
-10.743973,300,427.797723
-8.460213,300,431.047902
54.94041,134,432.439914
175.553553,146,433.975056
-23.737392,300,436.931202
59.20988,134,438.209392
5.022052,178,439.83794
-3.748344,300,442.729079
-4.849355,300,445.527011
-24.201705,29,445.825295
241.253898,186,447.623062
252.431488,132,448.821049
247.125045,139,450.174575
-391.172861,341,453.394031
-375.466241,341,456.633201
255.389225,137,457.944101
-23.139169,341,461.194946
254.228022,202,463.106556
254.30148,133,464.491249
55.856796,133,465.719757
-5.303912,170,467.352364
233.298523,1,467.399024
329.465524,252,469.782125
340.989267,256,472.176127
-165.892572,341,475.468854
208.452485,152,476.925653
47.618964,141,478.374858
31.400593,300,481.195829
233.298523,1,481.23801
1062.87238,300,484.153582
233.298523,1,484.202728
11.123383,148,485.537829
33.757131,142,486.838156
255.330119,142,488.190429
255.324009,142,489.541187
461.306702,237,491.760714
255.345214,142,493.127386
255.344405,142,494.443963
813.572236,400,498.240462
-99.754102,250,500.612935
255.21509,143,501.921208
233.298523,1,501.96524
317.715094,164,503.585897
255.316295,142,504.90954
-31.259677,341,508.13261
233.298309,1,508.175888
890.291353,400,511.942225
55.92069,134,513.193213
-15.417182,7,513.294066
-134.845214,341,516.489634
-41.637106,55,517.047443
1032.91336,300,519.88855
356.544461,193,521.686201
-29.035531,341,524.950896
277.409539,144,526.243667
279.424198,145,527.612276
60.681278,40,528.03358
254.114568,133,529.309741
47.895656,141,530.660733
255.316192,142,532.064975
-39.166892,300,534.871937
-142.492111,341,538.141812
54.934201,133,539.466827
-54.759271,100,540.488738
-13.159613,300,543.39672
233.298523,1,543.443976
-43.575943,341,546.702906
254.11383,133,547.986906
-31.929011,341,551.156908
99.981619,300,554.043469
556.110126,282,556.677666
2.979344,300,559.430277
40.737452,143,560.830745
252.709223,132,562.129873
40.737452,143,563.57061
40.73752,143,564.933874
-28.541868,147,566.366323
196.871456,400,570.104334
-31.07259,159,571.64735
-67.050696,341,574.782437
